Q,Precision_MQ,Precision_RR,NDCG_MQ,NDCG_RR,ROUGE_MQ,ROUGE_RR,ROUGE_Improvement_%
1,0.6,0.8,0.9780907691521085,0.9888992078697169,0.12373743441867917,0.23241201400405384,87.82676002289035
2,1.0,1.0,0.9996988280379661,0.9991622099098572,0.3084008679863602,0.3057271410051094,-0.8669648041875947
3,0.8,0.4,1.0,0.9997670063032862,0.1605819723466782,0.15107083210531486,-5.922919056461629
4,0.2,0.0,0.9654414660539576,0.981467832761059,0.1852968741653677,0.15084049566808186,-18.595229224717162
5,0.6,0.6,0.9830643277466306,0.988174120441525,0.23326023391812867,0.1405228758169935,-39.75703725551642
