Q,Precision_MQ,Precision_RR,NDCG_MQ,NDCG_RR,ROUGE_MQ,ROUGE_RR,ROUGE_Improvement_%
1,0.2,0.6,0.944541958234404,0.989875618276136,0.09058641975308644,0.20987613542526837,131.68609157678682
2,0.8,1.0,0.9976806469518741,0.9974864326385484,0.35358056265984655,0.2898957123209016,-18.011411560598532
3,0.2,0.0,0.9783703382736049,0.9720829352488607,0.4131548141644718,0.30093563746545465,-27.161531912912455
4,0.0,0.0,0.8907965475382468,0.977149425550419,0.16841233209065623,0.040229885057471264,-76.11226888312694
5,0.0,0.4,0.9752444186514615,0.9871382199325821,0.19717668488160292,0.2989177489177489,51.598932245583505
