Q,Precision_MQ,Precision_RR,NDCG_MQ,NDCG_RR,ROUGE_MQ,ROUGE_RR,ROUGE_Improvement_%
1,0.6,0.4,0.9782611493329726,0.993588082591143,0.15039585039585038,0.40395476110698353,168.59435286528966
2,0.8,0.8,0.999113244503931,0.9987591765044157,0.4814923996764855,0.5780952380952381,20.063211482395154
3,0.2,0.4,0.9438694857920175,0.982281748214249,0.13903508771929823,0.11462434383202098,-17.557254278546413
4,0.2,0.0,0.9950063538458694,0.9780285209209398,0.1411519007994779,0.12547892720306514,-11.103622060802408
5,0.2,0.6,0.9351449966574419,0.9887703637243704,0.1322140322140322,0.34869056699720313,163.7318907517562
